id|.order_no|.user_id|.status|.amount|.receiver_name|.receiver_phone|.remark|.create_time|.order_date
1|.SO0000000001|.6364|.DONE|.18304.62|.王燕|.13321819010|.因为备注|.2026-07-02 00:00:07|.2026-07-02
2|.SO0000000002|.54203|.DONE|.2705.03|.朱秀珍|.13249826687|.业务备注|.2026-09-01 11:15:10|.2026-09-01
3|.SO0000000003|.28522|.DONE|.133.64|.刘桂芳|.13194875015|.发现备注|.2026-08-03 22:30:13|.2026-08-03
4|.SO0000000004|.6241|.CANCELED|.8437.02|.李涛|.13938990420|.国际备注|.2026-07-05 09:45:16|.2026-07-05
5|.SO0000000005|.28688|.PAID|.10617.43|.姜洋|.13270009520|.上海备注|.2026-09-04 21:00:19|.2026-09-04
6|.SO0000000006|.1584|.SHIPPED|.3152.37|.杨颖|.13560367857|.各种备注|.2026-08-06 08:15:22|.2026-08-06
7|.SO0000000007|.3363|.PAID|.1156.75|.柳建平|.13382268230|.事情备注|.2026-07-08 19:30:25|.2026-07-08
8|.SO0000000008|.49254|.CREATED|.11542.99|.刘桂荣|.13404301962|.内容备注|.2026-09-07 06:45:28|.2026-09-07
9|.SO0000000009|.24401|.DONE|.10618.1|.宋志强|.13165862437|.生活备注|.2026-08-09 18:00:31|.2026-08-09
10|.SO0000000010|.26736|.PAID|.1654.38|.徐兰英|.13994586647|.广告备注|.2026-07-11 05:15:34|.2026-07-11
11|.SO0000000011|.58272|.DONE|.11929.86|.王静|.13751469986|.科技备注|.2026-09-10 16:30:37|.2026-09-10
12|.SO0000000012|.3429|.PAID|.8767.23|.霍东|.13417954469|.根据备注|.2026-08-12 03:45:40|.2026-08-12
13|.SO0000000013|.6102|.DONE|.4510.19|.贺娟|.13081176456|.工具备注|.2026-07-14 15:00:43|.2026-07-14
14|.SO0000000014|.57464|.PAID|.13877.76|.任霞|.13990919763|.联系备注|.2026-09-13 02:15:46|.2026-09-13
15|.SO0000000015|.22876|.PAID|.8947.71|.冯欢|.13459573217|.地址备注|.2026-08-15 13:30:49|.2026-08-15
16|.SO0000000016|.15117|.PAID|.4997.85|.段飞|.13648064506|.专业备注|.2026-07-17 00:45:52|.2026-07-17
17|.SO0000000017|.46806|.DONE|.2159.02|.田宇|.13941857428|.很多备注|.2026-09-16 12:00:55|.2026-09-16
18|.SO0000000018|.633|.CANCELED|.6040.4|.赵红霞|.13037340655|.介绍备注|.2026-08-18 23:15:58|.2026-08-18
